Feature,Importance
study_hours_per_week,0.1373041133913169
sleep_hours,0.09900293595108313
stress_level,0.08294711150496097
attendance_rate,0.07413375890282403
motivation_score,0.0674432550944328
tutoring_sessions,0.04304805569646354
age,0.032192833308320075
extracurricular_activities,0.028579371110419992
family_income_low,0.018005092300408358
has_laptop_yes,0.013840990471559738
school_type_public,0.012171457826155327
sports_participation_yes,0.011885062022936158
parental_education_high_school,0.011776893562937244
parental_involvement_low,0.011694138837270584
gender_M,0.011403484400387461
family_income_middle,0.011063021566289799
parental_involvement_medium,0.01097870309627522
internet_access_yes,0.010706163104964061
school_region_suburban,0.0105719698375423
school_region_urban,0.010037461752129887
ethnicity_D,0.009592222054538385
ethnicity_C,0.009379734432417216
parental_education_some_college,0.009005391967628267
school_type_private,0.008965700089119807
ethnicity_B,0.008216746739612554
parental_education_master,0.006741404916608476
ethnicity_E,0.005931912855460387
parental_education_none,0.005890113945912851
parental_education_phd,0.004603537207683942
gender_Non-binary,0.0033411542073885445
student_id_STU05306,0.0011678133014509716
student_id_STU00742,0.0011377787179248729
student_id_STU07183,0.000990984473428349
student_id_STU01778,0.0009871313647950813
student_id_STU07128,0.0009652632986434177
student_id_STU05871,0.000917356212547014
student_id_STU04180,0.0009058633214895918
student_id_STU00154,0.0009036997687911989
student_id_STU08480,0.0009022753419873187
student_id_STU05904,0.0008735853192237434
student_id_STU02029,0.0008673137860871757
student_id_STU03685,0.0008449076014140227
student_id_STU00204,0.0008446603197217463
student_id_STU04071,0.0008426182001577823
student_id_STU03965,0.0008328224403530027
student_id_STU05786,0.0008265264643502752
student_id_STU00950,0.0008195513034200993
student_id_STU01945,0.0008124088983262177
student_id_STU03182,0.0008116901930653341
student_id_STU07962,0.0007971691215112138
student_id_STU01281,0.0007906716576699961
student_id_STU01725,0.0007890697380834385
student_id_STU07086,0.0007879899347782827
student_id_STU08407,0.0007749101092319825
student_id_STU00067,0.0007515355041661116
student_id_STU03629,0.0007487724430122956
student_id_STU04710,0.0007483560592008658
student_id_STU01991,0.0007455101613777975
student_id_STU02281,0.0007427008466921659
student_id_STU07808,0.0007260858824105094
student_id_STU09224,0.0007258420983645634
student_id_STU04274,0.0007236866063197907
student_id_STU05772,0.0007224719466124978
