Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
Gradient Boosting,0.965,0.9667,0.9979,0.9821,0.9373
Random Forest,0.961,0.961,1.0,0.9801,0.9296
Logistic Regression,0.961,0.961,1.0,0.9801,0.9127
Decision Tree,0.8765,0.9878,0.8824,0.9321,0.875
